epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3456,3.98544,22.1765,2.71616,0.11165,0.25,0.04932,0.00493,3.81975,67.4803,3.36049,0,0,0
2,46.1814,3.99749,29.5938,2.79583,0.14066,0.25,0.04932,0.00493,3.84435,44.2124,3.36824,1.934e-05,1.934e-05,1.934e-05
3,68.3802,4.35704,23.7622,2.80687,0.33778,0.25,0.24532,0.02453,3.73109,24.7913,3.36032,3.736e-05,3.736e-05,3.736e-05
4,92.163,4.01928,13.5784,2.78004,0.60267,0.25,0.24532,0.02453,3.73317,19.1338,3.37239,5.406e-05,5.406e-05,5.406e-05
5,116.125,4.28731,12.5647,2.48523,0.00987,0.25,0.02259,0.00226,3.50647,20.4224,3.09629,6.944e-05,6.944e-05,6.944e-05
6,138.974,3.63715,10.8314,2.22917,0.00083,0.25,0.00083,8e-05,3.43545,17.0639,2.92445,8.35e-05,8.35e-05,8.35e-05
7,164.09,3.5882,9.81054,2.37298,0,0,0,0,3.39585,12.536,2.75707,9.624e-05,9.624e-05,9.624e-05
8,187.023,3.59228,11.8977,2.02959,0,0,0,0,3.36247,11.1709,2.63321,0.00010766,0.00010766,0.00010766
9,210.415,3.48879,8.72972,1.85054,0.00111,0.25,0.00543,0.00079,3.30746,9.86662,2.45829,0.00011776,0.00011776,0.00011776
10,234.139,3.56568,8.90746,1.88445,0.01272,0.25,0.01339,0.00143,3.33325,8.95668,2.31631,0.00012654,0.00012654,0.00012654
11,255.665,3.21873,7.94218,1.90283,0.08825,0.25,0.03855,0.00805,3.11198,9.56705,2.15642,0.000134,0.000134,0.000134
12,278.061,3.09881,5.96136,1.66799,0.01544,0.5,0.01589,0.00401,3.24657,9.09742,2.19222,0.00014014,0.00014014,0.00014014
13,300.399,2.79613,5.8763,1.64234,0.05328,0.25,0.02365,0.00724,3.51159,8.76179,2.38186,0.00014496,0.00014496,0.00014496
14,322.704,2.89062,5.82824,1.66689,0.27052,0.25,0.08273,0.02545,3.35665,9.97276,2.35896,0.00014846,0.00014846,0.00014846
15,344.736,2.76734,4.46489,1.76483,0.44372,0.25,0.12356,0.03734,3.45389,9.57858,2.51817,0.00015064,0.00015064,0.00015064
16,366.62,2.69203,4.36597,1.69991,0.299,0.25,0.12475,0.02535,3.70441,8.71418,2.69542,0.0001515,0.0001515,0.0001515
17,389.251,2.8192,4.5541,1.56434,0.24239,0.25,0.08431,0.01703,3.77222,9.64559,2.66194,0.00015104,0.00015104,0.00015104
18,411.381,2.65996,3.74085,1.61626,0.24239,0.25,0.08431,0.01703,3.77222,9.64559,2.66194,0.00014926,0.00014926,0.00014926
19,433.82,2.28497,3.94358,1.58684,0.37154,0.25,0.12282,0.02595,3.77652,8.05921,2.61616,0.00014616,0.00014616,0.00014616
20,456.272,2.66213,3.15867,1.60732,0.37154,0.25,0.12282,0.02595,3.77652,8.05921,2.61616,0.00014174,0.00014174,0.00014174
21,479.485,2.53855,3.85346,1.77691,0.21988,0.25,0.08198,0.02513,3.64825,7.31733,2.64197,0.000136,0.000136,0.000136
22,502.922,2.72209,3.53698,1.76918,0.21988,0.25,0.08198,0.02513,3.64825,7.31733,2.64197,0.00012894,0.00012894,0.00012894
23,527.146,2.45734,3.91274,1.66143,0.47592,0.23796,0.12282,0.02456,3.54317,7.03975,2.55106,0.00012056,0.00012056,0.00012056
24,550.19,2.41426,3.23394,1.6136,0.47592,0.23796,0.12282,0.02456,3.54317,7.03975,2.55106,0.00011086,0.00011086,0.00011086
25,574.737,1.95655,3.0947,1.55275,0.45487,0.22743,0.12282,0.01253,3.46995,6.70881,2.44178,9.984e-05,9.984e-05,9.984e-05
26,598.245,2.55656,3.4742,1.70794,0.45487,0.22743,0.12282,0.01253,3.46995,6.70881,2.44178,8.75e-05,8.75e-05,8.75e-05
27,621.082,2.17874,3.06674,1.6042,0.45172,0.22586,0.12282,0.0125,3.36931,6.31427,2.36545,7.384e-05,7.384e-05,7.384e-05
28,644.913,2.04211,2.70798,1.41664,0.45172,0.22586,0.12282,0.0125,3.36931,6.31427,2.36545,5.886e-05,5.886e-05,5.886e-05
29,669.223,2.42267,3.37394,1.59042,0.48293,0.24147,0.12282,0.01252,3.33447,5.91771,2.36549,4.256e-05,4.256e-05,4.256e-05
30,693.701,2.45994,4.04077,1.52168,0.48293,0.24147,0.12282,0.01252,3.33447,5.91771,2.36549,2.494e-05,2.494e-05,2.494e-05
